id,sentence,used,created,mention
PMC5189946,"All of this analysis was implemented using Matlab, and the code is available for download from a public GitHub repository https://github.com/EmoryUniversityTheoreticalBiophysics/C.",False,True,False
PMC4511233,"Code for calculating partition similarity, obtaining taxonomic data, and running the search algorithm are available on GitHub at https://github.com/esander91/SignedGroupModel.

",False,True,False
PMC4186879,"All behavioral statistical analyses were performed in R. The EEG signal processing was implemented in MATLAB using in-house scripts (LAN toolbox, available online at http://lantoolbox.wikispaces.com/, e.g. [26]). ",False,False,True
PMC5026371,"M-Track was written using Python 2.7, OpenCV 3.0 and Qt4.8, which can be downloaded free of charge at the URLs reported in Table 3.
",True,False,False
PMC1283974,"Mindboggle is a freely downloadable, open source software package written in Matlab (version 6, release 13, with the Image Processing Toolbox, The Mathworks Inc., USA) and has been tested on different models of desktop and laptop computers running different distributions of Linux, as well as MacOSX and Windows.
",False,True,False
PMC3591454,"All graph algorithms used in this article were implemented in Matlab and are available as part of the Brain Connectivity Toolbox (www.brain-connectivity-toolbox.net) [17].

",False,True,False
01a01273-2e2c-423c-b480-6a3161c2aa36,"Data analysis was performed in R version 3.2.3 (2015-12-10), and a script including all analytical steps is available upon request.",True,False,False
01a01273-2e2c-423c-b480-6a3161c2aa36,Data sets obtained in this study have been uploaded to GEO under accession ID GSE89392 (link for the reviewers: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=yrkpgamgzbcdlaz&acc=GSE89392).,False,False,False
11471465-9ddb-417f-ad95-846a20859f3a,"For the interested reader we have made the following resources available: the full control datasets to which distributions were fitted, with the corresponding MatLab script; the Bayesian sampling code; the action potential modelling software; and the scripts for generating the figures presented in this article.",False,True,False
11471465-9ddb-417f-ad95-846a20859f3a,These can be downloaded as a 'bolt-on project' for the open-source cardiac simulation software Chaste (written to work with v3.1) from http://www.cs.ox.ac.uk/chaste/download.,False,True,False
1a63779b-37c8-4766-841b-796ff7322705,"For implementation of fuzzy model in MATLAB software was created executable file called ""M-file"".",False,True,False
284e1dc4-c9d8-4892-92a2-97344f875e29,"Design algorithm shown in Fig. 6 is implemented in MAT-LAB code, where an initial case is chosen corresponding to ten z positions of points with cavity curvature is described with spline curve (step 2).",True,False,False
40fad519-039d-4f33-a096-7ebc20fc182f,"In online Appendix A, we provide a step-by-step guide to implementation (along with corresponding Stata code) which accounts for differences in class size, multiple classrooms per year, and other technical issues which arise in practice.",False,True,False
41e67c2e-f2ea-43f3-91f5-4c860d7a5803,9. The Matlab code is available upon request.,False,True,False
47b5930e-56c9-4ed9-9fe4-a5236244683e,We developed a Perl program to store all the graph paths for a given protein.,False,True,False
51eac8f8-c4ea-408d-91ed-0d19497797a9,"We hypothesized that we could suspect the degree of liver fibrosis by calculating liver enhancement heterogeneity in the HB phase, and accordingly, developed new MATLAB (R2012a, MathWorks, Natick, MA, USA)-based software to identify inhomogeneous signal intensities calculated from a coefficient of variation (CV) map to objectively quantify liver parenchymal heterogeneity.",False,True,False
51eac8f8-c4ea-408d-91ed-0d19497797a9,"In this paper, we aimed to evaluate the heterogeneity of liver parenchyma on Gd-EOB-DTPA-enhanced MR images, using CV value processed by our MATLAB-based software, and to demonstrate a correlation between the calculated heterogeneity and the calculated serologic markers including APRI and FIB-4, which have been known to have diagnostic accuracy for predicting hepatic fibrosis in CHB patients.",False,True,False
57c957d9-57bd-40a3-9924-ca20a43f01ee,"The software for building a CWT was implemented in Java, and is available at http://cwt.cb.k.u-tokyo.ac.jp/.",False,True,False
5cd89957-e4ba-4ed0-b028-a939e03dbd44,"Scripts were written in Matlab to segment spots using the wavelet-based multiscale products as described previously (Olivo-Marin, 2002).",False,True,False
60950a58-6140-4b9c-9461-54ac79971959,"In this article, we described the AURIN e-infrastructure and its support for diverse data use/re-use and integration scenarios.",False,True,False
651d0ef5-26cf-4c3b-8b0e-a6fa07734b63,"To estimate the parameters of the distribution we used maximum likelihood estimates, provided by the MatLab™ statistics toolbox 'mle' function (the datasets and fitting code are available to download from http://www.cs.ox.ac.uk/chaste/download).",True,False,False
67c964db-81c2-4dae-b7c2-07c1766d5a22,"We released 5 genotypes, 4 exomes, 1 metagenome from the Corpas family via a blog and figshare under a public domain license, inviting scientists to join the crowdsourcing efforts to analyse the genomes in return for coauthorship or acknowldgement in derived papers.",False,False,False
686a8e00-10a1-41ed-beef-1955f607ec20,Optimized BNC and MN masks were developed by applying and combining several new and existing mask functions in IDEAS (version 6.2).,False,True,False
686a8e00-10a1-41ed-beef-1955f607ec20,"In the present study, we developed a new analysis strategy using mask functions recently implemented in IDEAS, and evaluated the performance of this analysis compared to our previous approach.",False,True,False
686a8e00-10a1-41ed-beef-1955f607ec20,"Several of the new features developed in IDEAS that simultaneously compare the main nuclei to one another based on circularity, size, staining intensity and symmetry, allowed BNCs to be further differentiated from other undesired events.",False,False,True
6a017f17-6d9b-4933-b1ff-ac2a304e0821,Database searches are performed with an internally developed Cohort Query Tool written in Java.,False,True,False
6d3285d4-8866-431a-bb08-b2c3cb811f67,An easy-to-use online tool (http:// www.echobelt.org/risk/) as well as an Excel tool was developed whereby an individual's underlying risk of AKI can be estimated by entering the individual's own characteristics.,False,True,False
6f649fea-74bc-4203-a105-851d702078ca,"We have developed this tool on a Microsoft Windows PC tablet system, and it has been used successfully to collect and administer clinical assessments in several large-scale studies.",False,True,False
70057d5d-78b3-4e9e-b641-33f9c01f45cb,"The CAD algorithm was implemented by a technical computing language (MATLAB R2010a, MathWorks Inc., Natick, MA, USA).",False,True,False
70057d5d-78b3-4e9e-b641-33f9c01f45cb,The CAD system was developed based on mathematical morphology using MathWorks.,False,True,False
70f7dd36-f03a-4625-ac11-2471ec877993,"Here we present ""OnlineTED"", a novel smartphone-and web-based AR system that is free-touse, platform independent and does not require hardware clicker or additional software.",False,True,False
70f7dd36-f03a-4625-ac11-2471ec877993,"In this article we present ""OnlineTED"", a novel web-based audience response system that is free-to-use, platformindependent and does not require hardware clickers.",False,True,False
7bf0aed4-e091-4c8a-8613-a0c17a2f81b0,"We do this by Maximum Likelihood, using Matlab (the program is available in https://www.york.ac.uk/economics/exec/research/zhouandhey1/).",False,True,False
873a52df-bc68-483b-9546-7ee74c8916f5,"Mlr and decision trees were implemented in r using lm command and cubist package, respectively.",True,False,False
8b159e06-cd5f-419d-a7c2-aed02329b08e,"It is an app for android phones called ""BPP @ MIT,"" available for download at the Google Play Store.",False,True,False
8bda2c94-c686-4e42-84ce-ace1883e05c1,"MATLAB code for computing the threshold likelihood has been posted on MATLAB Central and complete MATLAB code for all analyses and simulations can be found in supplementary material, Supplementary Material online.",False,True,False
96af8b5c-0138-4f38-8a55-09960b210695,"The in-house script ""Relaxon"" was implemented for this purpose using MINC tools.",False,True,False
987ce57d-bcdd-4c40-9123-b4ea686d7b98,All results are available for download in Clustal and bracket-dot format.,True,False,False
9d1f3c18-9ea9-4169-b993-e7828b261064,The online modules were created with in-house Java based software that we previously used to develop online continuing medical education (CME) courses for health professionals.,False,True,False
a036dae3-129b-4417-b323-968f14b91025,A Perl script was also written to locate poly-A tails and to search 10-35 bp upstream for putative mRNA poly-adenylation signals; the script allowed one mismatch and two mismatches from the sequence AAUAAA.,False,True,False
a5886a0f-ae13-4403-a6ba-86918a688b35,We have written the software package hotspot to assist with this.,False,True,False
aaacc98f-7a36-45a7-aae4-2b85a3b3b823,"The synthesis framework described in this article is available on the MATLAB file-exchange, at http://www.mathworks. com/matlabcentral/fileexchange/48915-synthetic-bright-fieldmicroscopy-image-generator, as an open-source code package on publication acceptance.",False,True,False
aecf3f05-2b84-43f7-a43f-a9ad63a409f3,"All microarray data generated in this study are available at ArrayExpress (http://www.ebi.ac.uk/arrayexpress/ under identifiers E-MTAB-3306, E-MTAB-3307 and E-MTAB-3308).",False,False,False
aecf3f05-2b84-43f7-a43f-a9ad63a409f3,The mass spectrometry proteomics data have been deposited to the ProteomeXchange Consortium [23] via the PRIDE partner repository with the dataset identifier PXD001806.,False,False,False
b5d6dd6b-ff81-4da3-89eb-71f5ed61404e,Matlab codes are available in figshare along with the raw dataset21.,False,True,False
be07de8f-d92d-4a2f-8cf3-c906b128d939,All datasets generated during and/or analyzed during the current study have been deposited in Mendeley Data (https://doi.org/10.17632/4cynjrymgf.1) and NCBI GEO: GSE151973.,False,False,False
cccc95a2-44b0-49ee-a260-cae5329111fd,"The high resolution scans made available (Harvard Dataverse 10.7910/DVN/29628, [2]) were produced using 3600 radiographs with 1.2 µm effective pixel size.",False,False,False
dde6507f-dc32-482b-86e4-232f866ba22d,"To automatize the search for phylogenetically informative markers, we developed a PERL pipeline connected to a MySQL database (available upon request).",False,True,False
e7f8fe57-f721-426c-980b-98942e3782db,A MATLAB script that implements this check is available in the Additional Material to the present paper.,False,True,False
ed60c728-a418-45ff-9c81-1492ff1032d9,"All code for simulation and pattern recognition was written in Matlab (Mathworks, Natick, MA).",False,True,False
ed9b25b3-0dc8-4459-a69c-20760f5e69a9,"The algorithm is implemented in Java in the framework of the ace.map suite for microarray statistical data analysis, which will be described in detail elsewhere.",False,True,False
ed9b25b3-0dc8-4459-a69c-20760f5e69a9,This secondary normalization is implemented in the ace.map suite.,True,False,False
f7f3c97a-6acc-4b8e-92ea-c95ce2c91772,The Matlab code can be downloaded in mwkang.site11.com/code/rie2016.,False,True,False
f833dd55-a68f-4ec3-a8a3-9a365d993c39,"We implemented our algorithm in the publicly available ct3d software package, which is accompanied by the at3d graphical user interface.",False,True,False
f833dd55-a68f-4ec3-a8a3-9a365d993c39,"We implemented component trees, tree-assignments and the complete cell tracking algorithm, in C++ using lp_solve 1 for solving both the tree assignment and the weighted bipartite matching (integer) linear programs, all of which is compiled in the ct3d command line tool.",False,True,False
PMC5988334,"We therefore, to make it easier to facilitate comparisons between no vaccination and dog vaccination programs, programmed into RabiesEcon a process to calculate a “steady state” of a near-constant number of annual cases of canine rabies in a “no vaccination” scenario. ",False,True,False
PMC5988334,"We did this by programming RabiesEcon to run an initial 10,000 weeks (S2 Appendix and Table 1 shows the specific parameters used). ",False,True,False
PMC3827111,Using the extensible architecture of OsiriX we developed a plugin (called REMIT) to enable the consultant access uploaded images from a PACS server.,False,True,False
PMC3827111,"This was performed using the specifically created iPhone (Apple) application, ReMIT. ",False,True,False
PMC2688269,"With the development of EpiGRAPH, we have pulled together our experiences and established workflows from several studies [10,20-23] and incorporated them into a powerful and easy-to-use web service.
",False,True,False
PMC2518514,"Here we present PhyloGibbs-MP, an extension of PhyloGibbs in several directions that go well beyond standard motif-finding.
",False,True,False
PMC3280956,"The DOGS software was implemented in the programming language Java (Oracle Corporation, 500 Oracle Parkway, Redwood Shores, CA 94065, USA) version 1.6 and uses the Chemistry Development Kit (CDK, version 1.0.2) [23], [24].
",False,True,False
PMC3516542,"By using our software (ACME) to study somite formation, we were able to segment touching cells with high accuracy and reliably quantify changes in morphogenetic parameters such as cell shape and size, and the arrangement of epithelial and mesenchymal cells.
",False,True,False
PMC5868853,"The iDREM code and software, with an example input dataset and detailed instructions are available from GitHub (https://github.com/phoenixding/idrem).
",False,True,False
PMC4659587,"VDJtools is an open-source software, the source code can be accessed at GitHub [40].
",False,True,False
