id,sentence,used,created,mention,context
PMC4511233,"Code for calculating partition similarity, obtaining taxonomic data, and running the search algorithm are available on GitHub at https://github.com/esander91/SignedGroupModel.

",False,True,False,"Since the probability of getting a given MI is based both on the entropies and the groupings, it is possible to get a low p-value for a relatively low MI, or a high p-value for a high MI. Code for calculating partition similarity, obtaining taxonomic data, and running the search algorithm are available on GitHub at https://github.com/esander91/SignedGroupModel.

"
PMC4186879,"All behavioral statistical analyses were performed in R. The EEG signal processing was implemented in MATLAB using in-house scripts (LAN toolbox, available online at http://lantoolbox.wikispaces.com/, e.g. [26]). ",False,False,True,"All behavioral statistical analyses were performed in R. The EEG signal processing was implemented in MATLAB using in-house scripts (LAN toolbox, available online at http://lantoolbox.wikispaces.com/, e.g. [26]).  For the source estimation and head model, we used the BrainStorm and openMEEG toolboxes."
PMC1283974,"Mindboggle is a freely downloadable, open source software package written in Matlab (version 6, release 13, with the Image Processing Toolbox, The Mathworks Inc., USA) and has been tested on different models of desktop and laptop computers running different distributions of Linux, as well as MacOSX and Windows.
",False,True,False,"Mindboggle is a freely downloadable, open source software package written in Matlab (version 6, release 13, with the Image Processing Toolbox, The Mathworks Inc., USA) and has been tested on different models of desktop and laptop computers running different distributions of Linux, as well as MacOSX and Windows.
 The general system requirements are the basic requirements of the Matlab environment."
PMC3591454,"All graph algorithms used in this article were implemented in Matlab and are available as part of the Brain Connectivity Toolbox (www.brain-connectivity-toolbox.net) [17].

",False,True,False,"The graph's community structure can be determined by identifying a partition into non-overlapping modules (using an optimization algorithm such as the Louvain method) that maximizes a modularity metric. All graph algorithms used in this article were implemented in Matlab and are available as part of the Brain Connectivity Toolbox (www.brain-connectivity-toolbox.net) [17].

"
01a01273-2e2c-423c-b480-6a3161c2aa36,"Data analysis was performed in R version 3.2.3 (2015-12-10), and a script including all analytical steps is available upon request.",True,False,False,"Data sets obtained in this study have been uploaded to GEO under accession ID GSE89392 (link for the reviewers: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=yrkpgamgzbcdlaz&acc=GSE89392). Data analysis was performed in R version 3.2.3 (2015-12-10), and a script including all analytical steps is available upon request. External microarray data sets have been downloaded from Gene Expression Omnibus database using R package GEOQuery (ref.39; GSE34608, GSE19491, GSE3284, GSE47673, GSE23508, GSE11199, GSE37250)."
01a01273-2e2c-423c-b480-6a3161c2aa36,Data sets obtained in this study have been uploaded to GEO under accession ID GSE89392 (link for the reviewers: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=yrkpgamgzbcdlaz&acc=GSE89392).,False,False,False,"External microarray data sets have been downloaded from Gene Expression Omnibus database using R package GEOQuery (ref.39; GSE34608, GSE19491, GSE3284, GSE47673, GSE23508, GSE11199, GSE37250). Data sets obtained in this study have been uploaded to GEO under accession ID GSE89392 (link for the reviewers: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?token=yrkpgamgzbcdlaz&acc=GSE89392)."
11471465-9ddb-417f-ad95-846a20859f3a,"For the interested reader we have made the following resources available: the full control datasets to which distributions were fitted, with the corresponding MatLab script; the Bayesian sampling code; the action potential modelling software; and the scripts for generating the figures presented in this article.",False,True,False,"These can be downloaded as a 'bolt-on project' for the open-source cardiac simulation software Chaste (written to work with v3.1) from http://www.cs.ox.ac.uk/chaste/download. For the interested reader we have made the following resources available: the full control datasets to which distributions were fitted, with the corresponding MatLab script; the Bayesian sampling code; the action potential modelling software; and the scripts for generating the figures presented in this article. These can be downloaded as a 'bolt-on project' for the open-source cardiac simulation software Chaste (written to work with v3.1) from http://www.cs.ox.ac.uk/chaste/download."
11471465-9ddb-417f-ad95-846a20859f3a,These can be downloaded as a 'bolt-on project' for the open-source cardiac simulation software Chaste (written to work with v3.1) from http://www.cs.ox.ac.uk/chaste/download.,False,True,False,"For the interested reader we have made the following resources available: the full control datasets to which distributions were fitted, with the corresponding MatLab script; the Bayesian sampling code; the action potential modelling software; and the scripts for generating the figures presented in this article. These can be downloaded as a 'bolt-on project' for the open-source cardiac simulation software Chaste (written to work with v3.1) from http://www.cs.ox.ac.uk/chaste/download."
1a63779b-37c8-4766-841b-796ff7322705,"For implementation of fuzzy model in MATLAB software was created executable file called ""M-file"".",False,True,False,"This file is used to enter the input values (NSR, TVSR) and automatically evaluate the total value of project risk (TVPR). For implementation of fuzzy model in MATLAB software was created executable file called ""M-file"". This file contains the following sequence of commands (Fig. 10)."
284e1dc4-c9d8-4892-92a2-97344f875e29,"Design algorithm shown in Fig. 6 is implemented in MAT-LAB code, where an initial case is chosen corresponding to ten z positions of points with cavity curvature is described with spline curve (step 2).",True,False,False,"Then the process is repeated starting from step 2. Design algorithm shown in Fig. 6 is implemented in MAT-LAB code, where an initial case is chosen corresponding to ten z positions of points with cavity curvature is described with spline curve (step 2). Then the spline interpolated curve is sampled at 100 points, where those sampled points are considered connected with piecewise linear, approximating the cavity curvature."
