,license,location,pmcid,pmid,doi,doi_link,pubdate,source,number,text,type of citation intent (CURATION),"Intent (creation, used, mention)",software,version,ID,curation_label,type of citation intent,label
0,comm,comm/PLoS_One/PMC3430616.nxml,3430616,22952786.0,10.1371/journal.pone.0043845,,2012,10. Confocal microscopy,37,"Confocal laser scanning was performed on a Olympus Fluoview 500 system using the 40×objective, and Fluoview software was used for image analysis.",Results: Software used,used,Fluoview,,SM7865,software,,1
1,comm,comm/ScientificWorldJournal/PMC3988858.nxml,3988858,25143975.0,10.1155/2014/395212,,2014,5. Simulation Results and Analysis,50,"In Figure 11, p miss of SVM-SMP is nearly equal to 0, which is much better than SVM-LA",Results: Software used,used,SVM,,SM8260,software,,1
2,comm,comm/Front_Physiol/PMC7680965.nxml,7680965,33240106.0,10.3389/fphys.2020.587057,,2020,Network Architecture and Training Parameters,28,A pattern recognition network was created using MATLAB r2017b to study the performance of the extracted gait parameters,Results: Software used,used,MATLAB,r2017b,SM30,software,,1
3,comm,comm/J_Exp_Clin_Cancer_Res/PMC6325889.nxml,6325889,30621723.0,10.1186/s13046-018-0997-7,,2019,paper_abstract,0,"Finally, we investigated the potential molecular mechanism of ARNTL by gene set enrichment analysis (GSEA), dual Luciferase reporter assay and chromatin immunoprecipitation assay",Results: Software used,used,analysis (GSEA),,SM28331,software,,1
4,comm,comm/PeerJ/PMC7346860.nxml,7346860,32704450.0,10.7717/peerj.9470,,2020,Conclusions,57,"The GitHub repository for this study has been created, including the Python scripts and the datasets used in this study (see https://github.com/smiile8888/rna-splice-sites-recognition)",Results: Software used,used,Python,,SM450,software,,1
5,comm,comm/BMC_Public_Health/PMC2724513.nxml,2724513,19591669.0,10.1186/1471-2458-9-225,,2009,Statistical methods,16,"SPSS for Windows, release 13 [13] was used for the statistical analyses.",Results: Software used,used,SPSS,,SM165,software,,1
6,comm,comm/mSphere/PMC7031614.nxml,7031614,32075884.0,10.1128/mSphere.00100-20,,2020,Statistics.,58,Analysis of the mScarlet and GFP recovery curves was performed by fitting the mScarlet and GFP recovery values at each time point over all samples with a linear mixed-effects model using the R package lme4,Results: Software used,used,R package lme4,,SM19199,software,,1
7,comm,comm/Acta_Crystallogr_D_Struct_Biol/PMC7397493.nxml,7397493,32744252.0,10.1107/S2059798320008049,,2020,Use of spherical fragment generation for structure determination,15,"This in turn will require improved algorithms, implemented in SHELXE, that take into account the unique aspects of electron scattering.",Results: Software used,used,SHELXE,,SM913,software,,1
8,comm,comm/PLoS_One/PMC4429966.nxml,4429966,25970274.0,10.1371/journal.pone.0126783,,2015,Mapping of high expressed unigenes on MapMan pathways.,25,The genes exhibiting high expression (≥100 normalized RPKM values) were mapped on functional bins assigned to different pathways in MapMan,Results: Software used,used,MapMan,,SM1098,software,,1
9,comm,comm/PLoS_Negl_Trop_Dis/PMC5976210.nxml,5976210,29758036.0,10.1371/journal.pntd.0006450,,2018,Computational methods,78,"Statistical analyses were carried out using Graphpad Prism, SPSS, Microsoft Excel and R",Results: Software used,used,R,,SM3,software,,1
10,comm,comm/eLife/PMC7577739.nxml,7577739,33084568.0,10.7554/eLife.60058,,2020,Flow cytometry,71,Flowing Software version 2.5.1 (Perttu Terho) was used for downstream analysis.,Results: Software used,used,Flowing,,SM3507,software,,1
11,comm,comm/PLoS_One/PMC5381760.nxml,5381760,28379961.0,10.1371/journal.pone.0170378,,2017,Species data and frequency-based analyses,10,This was performed with the 'raster' and 'spatstat' packages in R software [37],Results: Software used,used,raster,,SM40726,software,,1
12,comm,comm/eLife/PMC4532895.nxml,4532895,26267216.0,10.7554/eLife.05005,,2015,Collection and processing of previous predictions,138,"For algorithms providing multiple transcript-level predictions (i.e., miRanda-MicroCosm, PACCMIT-CDS, and TargetSpy), the transcript with the best score was selected as the representative transcript isoform",Results: Software usage in comparison,used,TargetSpy,,SM14547,software,,1
13,comm,comm/Genes_(Basel)/PMC6115825.nxml,6115825,30060522.0,10.3390/genes9080378,,2018,2.4. Simple Sequence Repeat Loci Identification and Primer Design,8,"The transcriptomes were analyzed using the MIcroSAtellite identification tool (MISA) (http://pgrc.ipk-gatersleben.de/misa/misa.html) for identifying SSRs with a minimum of ten repeats for di-nucleotide motifs, five repeats for tri- and tetra-, four repeats for penta- and hexa-nucleotide motifs",Results: Software used,used,MIcroSAtellite,,SM46963,software,,1
14,comm,comm/BMC_Syst_Biol/PMC5111260.nxml,5111260,27846841.0,10.1186/s12918-016-0366-0,,2016,Mapping differentially expressed genes to BrainSpan transcriptomes,20,"The function relationship and enrichment among these 373 genes were analyzed by the software ClueGO [67], with the resultant networks visualized by the Cytoscape [68].",Results: Software used,used,Cytoscape,,SM860,software,,1
15,comm,comm/J_Biomed_Semantics/PMC3217896.nxml,3217896,22041276.0,10.1186/2041-1480-2-9,,2011,,42,An OWL DL query of Brucella virulent factors also being protective antigens using the OWL editor Protégé 4,Results: Software used,used,Protégé,,SM46734,software,,1
16,comm,comm/PeerJ/PMC5969050.nxml,5969050,29844963.0,10.7717/peerj.4798,,2018,Pharmacokinetic and statistical analysis,20,Non-compartmental PK analysis was conducted by Phoenix WinNonlin software to determine the PK parameters of gliclazide,Results: Software used,used,Phoenix WinNonlin,,SM2094,software,,1
17,comm,comm/Molecules/PMC6269727.nxml,6269727,23434869.0,10.3390/molecules18022166,,2013,3.6. Optimal Proportioning Design of Synergistic Effect on GBP with Isophytol against Salmonella Enterica,40,"This design was based on the Mixture Design (D-optimal, two mixture components, two factors, the limits: 5%–95%) option in the Design Expert 7.1.3 Software that generated the experimental scheme (13 standard/run) randomly",Results: Software used,used,Design Expert,7.1.3,SM497,software,,1
